menzione,denominazione,provincia
IGT,Alpi Retiche,SO
IGT,Alto Mincio,MN
IGT,Benaco Bresciano,BS
IGT,Bergamasca,BG
IGT,Collina del Milanese,MI
IGT,Collina del Milanese,LO
IGT,Collina del Milanese,PV
IGT,Montenetto di Brescia,BS
IGT,Provincia di Mantova,MN
IGT,Provincia di Pavia,PV
IGT,Quistello,MN
IGT,Ronchi di Brescia,BS
IGT,Ronchi Varesini,VA
IGT,Sabbioneta,MN
IGT,Sebino,BG
IGT,Terre Lariane,CO
IGT,Terre Lariane,LC
IGT,Valcamonica,BS
DOC,Bonarda dell’Oltrepò Pavese,PV
DOC,Botticino,BS
DOC,Buttafuoco dell’Oltrepò Pavese o Buttafuoco,PV
DOC,Capriano del Colle,BS
DOC,Casteggio,PV
DOC,Cellatica,BS
DOC,Curtefranca,BS
DOC,Garda,BS
DOC,Garda Colli Mantovani,MN
DOC,Lambrusco Mantovano,MN
DOC,Lugana,MN
DOC,Oltrepò Pavese,PV
DOC,Oltrepò Pavese Pinot grigio,PV
DOC,Pinot nero dell’Oltrepò Pavese,PV
DOC,Riviera del Garda Classico,BS
DOC,San Colombano al Lambro o San Colombano,MI
DOC,San Colombano al Lambro o San Colombano,LO
DOC,San Martino della Battaglia,BS
DOC,"""Sangue di Giuda dell’Oltrepò Pavese” o “Sangue di Giuda”",PV
DOC,Terre del Colleoni o Colleoni,BG
DOC,Valcalepio,BG
DOC,Valtellina Rosso o Rosso di Valtellina,SO
